Participant | Session 1 (mean (±SD))                 | Session 2 (mean (±SD))                 | Session 3 (mean (±SD))                 |
NO.         | Reach        Grasp        Twist        | Reach        Grasp        Twist        | Reach        Grasp        Twist        |
---------------------------------------------------------------------------------------------------------------------------------------
1           | 30.53(±0.00) 56.93(±0.00) 73.60(±0.00) | 30.53(±0.00) 55.73(±0.00) 75.80(±0.00) | 32.53(±0.00) 61.47(±0.00) 73.60(±0.00) |
2           | 35.20(±0.00) 47.07(±0.00) 69.20(±0.00) | 32.13(±0.00) 52.40(±0.00) 74.20(±0.00) | 30.00(±0.00) 48.93(±0.00) 66.60(±0.00) |
3           | 31.13(±0.00) 60.40(±0.00) 74.60(±0.00) | 29.40(±0.00) 51.47(±0.00) 75.00(±0.00) | 28.00(±0.00) 54.13(±0.00) 72.00(±0.00) |
4           | 33.60(±0.00) 58.93(±0.00) 73.00(±0.00) | 31.40(±0.00) 65.87(±0.00) 79.40(±0.00) | 40.13(±0.00) 60.00(±0.00) 77.80(±0.00) |
5           | 31.47(±0.00) 49.07(±0.00) 73.20(±0.00) | 25.80(±0.00) 54.80(±0.00) 63.60(±0.00) | 30.73(±0.00) 53.73(±0.00) 70.60(±0.00) |
6           | 34.27(±0.00) 57.47(±0.00) 75.40(±0.00) | 27.27(±0.00) 59.33(±0.00) 68.80(±0.00) | 30.67(±0.00) 51.73(±0.00) 71.20(±0.00) |
7           | 30.60(±0.00) 50.80(±0.00) 73.20(±0.00) | 32.67(±0.00) 53.33(±0.00) 73.80(±0.00) | 32.80(±0.00) 54.53(±0.00) 71.40(±0.00) |
8           | 35.73(±0.00) 62.40(±0.00) 78.60(±0.00) | 32.93(±0.00) 57.33(±0.00) 77.20(±0.00) | 28.93(±0.00) 51.87(±0.00) 70.40(±0.00) |
9           | 30.20(±0.00) 48.13(±0.00) 69.00(±0.00) | 28.13(±0.00) 52.00(±0.00) 70.40(±0.00) | 30.87(±0.00) 55.60(±0.00) 70.40(±0.00) |
10          | 37.00(±0.00) 53.20(±0.00) 72.40(±0.00) | 36.33(±0.00) 56.13(±0.00) 72.40(±0.00) | 31.93(±0.00) 57.20(±0.00) 72.80(±0.00) |
11          | 35.27(±0.00) 60.27(±0.00) 76.40(±0.00) | 38.87(±0.00) 56.53(±0.00) 72.00(±0.00) | 35.60(±0.00) 55.87(±0.00) 75.20(±0.00) |
12          | 35.40(±0.00) 47.33(±0.00) 72.40(±0.00) | 29.47(±0.00) 53.20(±0.00) 68.00(±0.00) | 27.60(±0.00) 57.20(±0.00) 75.40(±0.00) |
13          | 30.07(±0.00) 51.07(±0.00) 69.00(±0.00) | 29.73(±0.00) 51.07(±0.00) 65.40(±0.00) | 27.47(±0.00) 55.60(±0.00) 72.00(±0.00) |
14          | 30.47(±0.00) 60.10(±0.00) 74.40(±0.00) | 30.73(±0.00) 59.47(±0.00) 69.80(±0.00) | 28.73(±0.00) 54.27(±0.00) 67.80(±0.00) |
15          | 36.13(±0.00) 56.80(±0.00) 76.60(±0.00) | 34.33(±0.00) 52.40(±0.00) 71.20(±0.00) | 34.47(±0.00) 55.47(±0.00) 74.80(±0.00) |
16          | 32.87(±0.00) 58.90(±0.00) 74.00(±0.00) | 29.67(±0.00) 58.80(±0.00) 74.60(±0.00) | 34.20(±0.00) 53.87(±0.00) 76.20(±0.00) |
17          | 27.73(±0.00) 55.20(±0.00) 70.80(±0.00) | 27.13(±0.00) 46.00(±0.00) 72.00(±0.00) | 28.13(±0.00) 56.40(±0.00) 72.00(±0.00) |
18          | 30.20(±0.00) 51.07(±0.00) 71.00(±0.00) | 27.47(±0.00) 57.73(±0.00) 69.00(±0.00) | 32.40(±0.00) 50.80(±0.00) 73.20(±0.00) |
19          | 30.33(±0.00) 52.40(±0.00) 69.60(±0.00) | 31.80(±0.00) 48.40(±0.00) 73.20(±0.00) | 28.33(±0.00) 46.80(±0.00) 67.40(±0.00) |
20          | 30.47(±0.00) 56.13(±0.00) 70.20(±0.00) | 29.00(±0.00) 58.40(±0.00) 75.40(±0.00) | 28.40(±0.00) 58.80(±0.00) 70.20(±0.00) |
21          | 28.80(±0.00) 55.07(±0.00) 71.80(±0.00) | 30.80(±0.00) 50.53(±0.00) 70.00(±0.00) | 30.53(±0.00) 48.93(±0.00) 68.40(±0.00) |
22          | 35.53(±0.00) 50.00(±0.00) 69.40(±0.00) | 29.00(±0.00) 58.67(±0.00) 78.20(±0.00) | 34.80(±0.00) 55.60(±0.00) 73.20(±0.00) |
23          | 35.93(±0.00) 61.07(±0.00) 74.60(±0.00) | 36.07(±0.00) 50.53(±0.00) 75.20(±0.00) | 27.33(±0.00) 49.87(±0.00) 67.00(±0.00) |
24          | 28.13(±0.00) 56.80(±0.00) 75.60(±0.00) | 31.00(±0.00) 61.73(±0.00) 69.60(±0.00) | 34.40(±0.00) 59.33(±0.00) 69.00(±0.00) |
25          | 27.73(±0.00) 52.93(±0.00) 69.60(±0.00) | 32.00(±0.00) 59.73(±0.00) 71.60(±0.00) | 25.47(±0.00) 56.40(±0.00) 71.80(±0.00) |
---------------------------------------------------------------------------------------------------------------------------------------
Mean        | 32.19(±2.95) 54.78(±4.63) 72.70(±2.71) | 30.95(±3.09) 55.26(±4.57) 72.23(±3.81) | 30.98(±3.36) 54.58(±3.66) 71.62(±2.96) |
