Participant | Session 1 (mean (±SD))                 | Session 2 (mean (±SD))                 | Session 3 (mean (±SD))                 |
            | Reach        Grasp        Twist        | Reach        Grasp        Twist        | Reach        Grasp        Twist        |
-------------------------------------------------------------------------------------------------------
1           | 28.13(±0.00) 49.73(±0.00) 64.20(±0.00) | 25.53(±0.00) 43.20(±0.00) 63.60(±0.00) | 29.33(±0.00) 55.47(±0.00) 68.60(±0.00) |
2           | 29.27(±0.00) 40.93(±0.00) 58.00(±0.00) | 22.87(±0.00) 41.47(±0.00) 62.20(±0.00) | 25.07(±0.00) 42.13(±0.00) 52.00(±0.00) |
3           | 23.13(±0.00) 51.20(±0.00) 63.60(±0.00) | 22.07(±0.00) 44.27(±0.00) 64.80(±0.00) | 24.47(±0.00) 47.47(±0.00) 55.20(±0.00) |
4           | 28.33(±0.00) 45.47(±0.00) 63.00(±0.00) | 28.80(±0.00) 57.60(±0.00) 68.40(±0.00) | 35.27(±0.00) 54.67(±0.00) 64.20(±0.00) |
5           | 27.53(±0.00) 44.93(±0.00) 62.00(±0.00) | 23.20(±0.00) 47.07(±0.00) 60.20(±0.00) | 24.13(±0.00) 50.80(±0.00) 66.40(±0.00) |
6           | 30.53(±0.00) 46.80(±0.00) 65.60(±0.00) | 24.53(±0.00) 45.47(±0.00) 55.20(±0.00) | 27.13(±0.00) 43.47(±0.00) 61.60(±0.00) |
7           | 26.67(±0.00) 43.60(±0.00) 60.60(±0.00) | 27.67(±0.00) 46.93(±0.00) 66.80(±0.00) | 26.80(±0.00) 46.53(±0.00) 55.00(±0.00) |
8           | 30.80(±0.00) 55.60(±0.00) 61.80(±0.00) | 26.93(±0.00) 48.40(±0.00) 64.40(±0.00) | 26.00(±0.00) 46.27(±0.00) 63.20(±0.00) |
9           | 24.73(±0.00) 35.87(±0.00) 61.20(±0.00) | 22.87(±0.00) 42.27(±0.00) 60.40(±0.00) | 25.67(±0.00) 45.07(±0.00) 62.60(±0.00) |
10          | 30.47(±0.00) 42.27(±0.00) 65.40(±0.00) | 30.80(±0.00) 49.07(±0.00) 62.00(±0.00) | 25.93(±0.00) 46.00(±0.00) 66.60(±0.00) |
11          | 30.53(±0.00) 48.40(±0.00) 66.80(±0.00) | 34.40(±0.00) 50.53(±0.00) 61.80(±0.00) | 29.87(±0.00) 48.40(±0.00) 66.60(±0.00) |
12          | 29.13(±0.00) 41.60(±0.00) 60.80(±0.00) | 26.47(±0.00) 46.00(±0.00) 61.00(±0.00) | 22.27(±0.00) 49.73(±0.00) 65.40(±0.00) |
13          | 24.67(±0.00) 43.20(±0.00) 63.20(±0.00) | 26.33(±0.00) 43.07(±0.00) 62.60(±0.00) | 21.87(±0.00) 49.07(±0.00) 63.00(±0.00) |
14          | 24.27(±0.00) 52.20(±0.00) 66.00(±0.00) | 24.53(±0.00) 48.27(±0.00) 61.00(±0.00) | 24.20(±0.00) 46.00(±0.00) 58.40(±0.00) |
15          | 27.93(±0.00) 48.80(±0.00) 66.20(±0.00) | 27.20(±0.00) 39.87(±0.00) 65.40(±0.00) | 28.13(±0.00) 40.40(±0.00) 63.40(±0.00) |
16          | 29.00(±0.00) 50.25(±0.00) 65.00(±0.00) | 26.60(±0.00) 44.13(±0.00) 59.60(±0.00) | 28.93(±0.00) 48.80(±0.00) 65.60(±0.00) |
17          | 24.73(±0.00) 44.67(±0.00) 63.20(±0.00) | 21.60(±0.00) 43.20(±0.00) 67.60(±0.00) | 22.60(±0.00) 43.20(±0.00) 63.80(±0.00) |
18          | 23.73(±0.00) 43.20(±0.00) 64.80(±0.00) | 25.27(±0.00) 47.07(±0.00) 59.00(±0.00) | 23.73(±0.00) 41.20(±0.00) 63.20(±0.00) |
19          | 26.40(±0.00) 48.13(±0.00) 52.40(±0.00) | 25.27(±0.00) 44.27(±0.00) 61.00(±0.00) | 24.33(±0.00) 44.27(±0.00) 59.60(±0.00) |
20          | 22.33(±0.00) 48.80(±0.00) 58.40(±0.00) | 25.40(±0.00) 47.60(±0.00) 64.80(±0.00) | 24.07(±0.00) 46.40(±0.00) 62.00(±0.00) |
21          | 24.27(±0.00) 46.00(±0.00) 65.40(±0.00) | 25.27(±0.00) 43.73(±0.00) 64.60(±0.00) | 24.47(±0.00) 46.93(±0.00) 61.20(±0.00) |
22          | 26.93(±0.00) 43.73(±0.00) 55.40(±0.00) | 22.13(±0.00) 45.20(±0.00) 72.60(±0.00) | 24.33(±0.00) 41.33(±0.00) 60.60(±0.00) |
23          | 31.33(±0.00) 54.93(±0.00) 62.60(±0.00) | 30.13(±0.00) 40.67(±0.00) 70.20(±0.00) | 23.93(±0.00) 39.07(±0.00) 59.20(±0.00) |
24          | 25.07(±0.00) 47.87(±0.00) 64.40(±0.00) | 22.87(±0.00) 54.13(±0.00) 59.20(±0.00) | 28.67(±0.00) 45.20(±0.00) 64.80(±0.00) |
25          | 22.93(±0.00) 44.27(±0.00) 62.40(±0.00) | 23.47(±0.00) 53.20(±0.00) 58.00(±0.00) | 21.40(±0.00) 48.67(±0.00) 60.40(±0.00) |
-------------------------------------------------------------------------------------------------------
Mean        | 26.91(±2.79) 46.50(±4.51) 62.50(±3.47) | 25.69(±3.04) 46.27(±4.27) 63.06(±4.00) | 25.70(±3.07) 46.26(±4.04) 62.10(±3.97) |
